Class,precision,recall,f1-score,support,Classifier,Config_IMG_WIDTH,Config_IMG_HEIGHT,Config_BATCH_SIZE,Config_EPOCHS,Config_SEED,Config_DATASET,Config_train_data_dir,Config_validation_data_dir,Config_k,Config_num_iterations,Config_learning_rate,Config_regularization,Config_batch_size,Config_num_models,Config_mse_threshold,Config_attack_type,Config_evaluation,Config_source_class,Config_target_class,Config_steps_per_epoch_train,Config_steps_per_epoch_val
Class 0,0.058823529411764705,0.014705882352941176,0.023529411764705882,272.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
Class 1,0.0721370604147881,0.2247191011235955,0.10921501706484643,356.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
Class 2,0.08018867924528301,0.16831683168316833,0.10862619808306709,303.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
Class 3,0.06597938144329897,0.11808118081180811,0.08465608465608465,271.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
Class 4,0.12996941896024464,0.2724358974358974,0.17598343685300205,312.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
Class 5,0.12357723577235773,0.22551928783382788,0.1596638655462185,337.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
Class 6,0.1021671826625387,0.1111111111111111,0.10645161290322579,297.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
Class 7,0.11940298507462686,0.06324110671936758,0.082687338501292,253.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
Class 8,0.13636363636363635,0.05952380952380952,0.08287292817679558,252.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
Class 9,0.08064516129032258,0.07604562737642585,0.07827788649706457,263.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
Class 10,0.08941176470588236,0.13620071684587814,0.10795454545454546,279.0,DynaDetect,30,30,64,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,label_flip,Poisoned,2,8,428,183
