Class,precision,recall,f1-score,support,Classifier,Config_IMG_WIDTH,Config_IMG_HEIGHT,Config_BATCH_SIZE,Config_EPOCHS,Config_SEED,Config_DATASET,Config_train_data_dir,Config_validation_data_dir,Config_k,Config_num_iterations,Config_learning_rate,Config_regularization,Config_batch_size,Config_num_models,Config_mse_threshold,Config_attack_type,Config_evaluation,Config_source_class,Config_target_class,Config_steps_per_epoch_train,Config_steps_per_epoch_val
Class 0,0.3176470588235294,0.421875,0.3624161073825503,64.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 1,0.39631336405529954,0.6515151515151515,0.49283667621776506,660.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 2,0.5847589424572317,0.6074313408723748,0.5958795562599049,619.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 3,0.4422657952069717,0.5178571428571429,0.4770857814336075,392.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 4,0.9374045801526718,0.951937984496124,0.9446153846153846,645.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 5,0.8325859491778774,0.8582434514637904,0.8452200303490137,649.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 6,0.6426332288401254,0.8333333333333334,0.7256637168141593,246.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 7,0.45977011494252873,0.40816326530612246,0.4324324324324324,196.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 8,0.6382978723404256,0.48,0.547945205479452,125.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 9,0.7675276752767528,0.6172106824925816,0.6842105263157895,337.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 10,0.6113744075829384,0.7166666666666667,0.659846547314578,360.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 11,0.208955223880597,0.23333333333333334,0.2204724409448819,60.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 12,0.49429657794676807,0.5603448275862069,0.5252525252525252,696.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 13,0.5176470588235295,0.4943820224719101,0.5057471264367817,89.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 14,0.5402298850574713,0.415929203539823,0.47,113.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 15,0.41025641025641024,0.3404255319148936,0.37209302325581395,94.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 16,0.4892086330935252,0.4722222222222222,0.480565371024735,144.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 17,0.4857142857142857,0.2236842105263158,0.3063063063063063,76.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 18,0.540453074433657,0.3804100227790433,0.446524064171123,439.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 19,0.695906432748538,0.6432432432432432,0.6685393258426967,185.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 20,0.40384615384615385,0.3,0.34426229508196726,70.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 21,0.6260869565217392,0.44171779141104295,0.5179856115107914,163.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 22,0.43548387096774194,0.35526315789473684,0.391304347826087,76.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 23,0.39571150097465885,0.49391727493917276,0.4393939393939394,411.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 24,0.3838383838383838,0.2857142857142857,0.3275862068965517,133.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 25,0.555,0.4625,0.5045454545454545,240.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 26,0.7105263157894737,0.7297297297297297,0.7200000000000001,74.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 27,0.4470198675496689,0.6367924528301887,0.5252918287937743,212.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 28,0.496,0.45925925925925926,0.47692307692307695,135.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 29,0.6258503401360545,0.739946380697051,0.6781326781326782,373.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 30,0.4766355140186916,0.40476190476190477,0.43776824034334766,126.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 31,0.5245901639344263,0.47761194029850745,0.5,67.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 32,0.7823639774859287,0.6650717703349283,0.7189655172413792,627.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 33,0.5301204819277109,0.5301204819277109,0.5301204819277109,83.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 34,0.5037453183520599,0.4461028192371476,0.4731750219876869,603.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 35,0.6235294117647059,0.5247524752475248,0.5698924731182795,101.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 36,0.6551724137931034,0.25675675675675674,0.36893203883495146,74.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 37,0.7111111111111111,0.64,0.6736842105263158,50.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 38,0.5284552845528455,0.4701627486437613,0.49760765550239233,553.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 39,0.8373983739837398,0.8442622950819673,0.8408163265306122,122.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 40,0.4482758620689655,0.4092009685230024,0.4278481012658228,413.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 41,0.5205479452054794,0.45023696682464454,0.48284625158831,422.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
Class 42,0.6055363321799307,0.4098360655737705,0.48882681564245806,427.0,DynaDetect,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Clean,3,7,857,367
