Class,precision,recall,f1-score,support,Classifier,Config_IMG_WIDTH,Config_IMG_HEIGHT,Config_BATCH_SIZE,Config_EPOCHS,Config_SEED,Config_DATASET,Config_train_data_dir,Config_validation_data_dir,Config_k,Config_num_iterations,Config_learning_rate,Config_regularization,Config_batch_size,Config_num_models,Config_mse_threshold,Config_attack_type,Config_evaluation,Config_source_class,Config_target_class,Config_steps_per_epoch_train,Config_steps_per_epoch_val
Class 0,0.0,0.0,0.0,64.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 1,0.23809523809523808,0.007575757575757576,0.014684287812041117,660.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 2,0.19230769230769232,0.008077544426494346,0.015503875968992246,619.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 3,1.0,0.00510204081632653,0.01015228426395939,392.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 4,0.14317180616740088,0.20155038759689922,0.1674179008370895,645.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 5,0.11702127659574468,0.4915254237288136,0.18903703703703706,649.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 6,0.0,0.0,0.0,246.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 7,1.0,0.00510204081632653,0.01015228426395939,196.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 8,0.0,0.0,0.0,125.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 9,0.0,0.0,0.0,337.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 10,0.07563025210084033,0.025,0.037578288100208766,360.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 11,0.03481012658227848,0.18333333333333332,0.05851063829787234,60.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 12,0.06878306878306878,0.03735632183908046,0.048417132216014895,696.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 13,0.0,0.0,0.0,89.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 14,0.0,0.0,0.0,113.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 15,0.05583756345177665,0.11702127659574468,0.07560137457044674,94.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 16,0.0,0.0,0.0,144.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 17,0.0,0.0,0.0,76.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 18,0.36363636363636365,0.018223234624145785,0.03470715835140998,439.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 19,0.0,0.0,0.0,185.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 20,0.0,0.0,0.0,70.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 21,0.0,0.0,0.0,163.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 22,0.0,0.0,0.0,76.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 23,0.038461538461538464,0.0024330900243309003,0.004576659038901602,411.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 24,0.0,0.0,0.0,133.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 25,0.07662835249042145,0.08333333333333333,0.07984031936127745,240.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 26,0.0,0.0,0.0,74.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 27,0.0,0.0,0.0,212.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 28,0.0,0.0,0.0,135.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 29,0.32407407407407407,0.0938337801608579,0.1455301455301455,373.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 30,0.007792860734037205,0.24603174603174602,0.015107212475633527,126.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 31,0.0,0.0,0.0,67.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 32,0.18181818181818182,0.09569377990430622,0.12539184952978058,627.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 33,0.0,0.0,0.0,83.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 34,0.025602409638554216,0.05638474295190713,0.03521491455204557,603.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 35,0.0,0.0,0.0,101.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 36,0.0,0.0,0.0,74.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 37,0.0,0.0,0.0,50.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 38,0.12452830188679245,0.059674502712477394,0.08068459657701711,553.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 39,0.0,0.0,0.0,122.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 40,0.07890499194847021,0.11864406779661017,0.09477756286266925,413.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 41,0.0,0.0,0.0,422.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
Class 42,0.0,0.0,0.0,427.0,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
accuracy,0.06726839237057221,0.06726839237057221,0.06726839237057221,0.06726839237057221,KNN,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,gradient_ascent,Poisoned,,,857,367
