Class,precision,recall,f1-score,support,Classifier,Config_IMG_WIDTH,Config_IMG_HEIGHT,Config_BATCH_SIZE,Config_EPOCHS,Config_SEED,Config_DATASET,Config_train_data_dir,Config_validation_data_dir,Config_k,Config_num_iterations,Config_learning_rate,Config_regularization,Config_batch_size,Config_num_models,Config_mse_threshold,Config_attack_type,Config_evaluation,Config_source_class,Config_target_class,Config_steps_per_epoch_train,Config_steps_per_epoch_val
Class 0,0.0,0.0,0.0,64.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 1,0.36812749003984063,0.6989409984871406,0.48225469728601256,661.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 2,0.5107212475633528,0.8451612903225807,0.6366950182260025,620.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 3,0.5656028368794326,0.811704834605598,0.6666666666666666,393.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 4,0.9534534534534534,0.9844961240310077,0.9687261632341724,645.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 5,0.8292349726775956,0.9338461538461539,0.8784370477568741,650.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 6,0.9575471698113207,0.8252032520325203,0.8864628820960698,246.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 7,0.967741935483871,0.6122448979591837,0.75,196.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 8,0.9278350515463918,0.72,0.8108108108108107,125.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 9,0.9038461538461539,0.9762611275964391,0.9386590584878743,337.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 10,0.6421052631578947,0.6777777777777778,0.6594594594594594,360.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 11,1.0,0.16666666666666666,0.2857142857142857,60.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 12,0.4106334841628959,0.5208034433285509,0.4592030360531309,697.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 13,0.8125,0.43820224719101125,0.5693430656934307,89.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 14,0.8636363636363636,0.16666666666666666,0.2794117647058823,114.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 15,0.8387096774193549,0.2765957446808511,0.41600000000000004,94.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 16,0.6551724137931034,0.13194444444444445,0.21965317919075145,144.0,Random Forest,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
