Class,precision,recall,f1-score,support,Classifier,Config_IMG_WIDTH,Config_IMG_HEIGHT,Config_BATCH_SIZE,Config_EPOCHS,Config_SEED,Config_DATASET,Config_train_data_dir,Config_validation_data_dir,Config_k,Config_num_iterations,Config_learning_rate,Config_regularization,Config_batch_size,Config_num_models,Config_mse_threshold,Config_attack_type,Config_evaluation,Config_source_class,Config_target_class,Config_steps_per_epoch_train,Config_steps_per_epoch_val
Class 0,0.2222222222222222,0.34375,0.26993865030674846,64.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 1,0.5028901734104047,0.2632375189107413,0.3455809334657398,661.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 2,0.5334018499486125,0.8370967741935483,0.6516007532956686,620.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 3,0.5,0.5165394402035624,0.5081351689612015,393.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 4,0.9615384615384616,0.9689922480620154,0.9652509652509652,645.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 5,0.8634222919937206,0.8461538461538461,0.8547008547008547,650.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 6,0.6446280991735537,0.6341463414634146,0.639344262295082,246.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 7,0.5833333333333334,0.5357142857142857,0.5585106382978723,196.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 8,0.6197183098591549,0.352,0.4489795918367347,125.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 9,0.723342939481268,0.744807121661721,0.7339181286549707,337.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 10,0.6,0.5666666666666667,0.5828571428571429,360.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 11,0.4,0.1,0.16,60.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 12,0.3505654281098546,0.3113342898134864,0.32978723404255317,697.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 13,0.4090909090909091,0.10112359550561797,0.16216216216216217,89.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 14,0.23333333333333334,0.06140350877192982,0.09722222222222222,114.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 15,0.30434782608695654,0.2978723404255319,0.3010752688172043,94.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 16,0.07792207792207792,0.08333333333333333,0.08053691275167785,144.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 17,0.2537313432835821,0.2236842105263158,0.23776223776223776,76.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 18,0.28291814946619215,0.36054421768707484,0.317048853439681,441.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 19,0.72,0.5837837837837838,0.6447761194029851,185.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 20,0.45454545454545453,0.14084507042253522,0.21505376344086022,71.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 21,0.3597560975609756,0.3619631901840491,0.36085626911314983,163.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 22,0.125,0.039473684210526314,0.06,76.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 23,0.19142419601837674,0.30413625304136255,0.2349624060150376,411.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 24,0.5053763440860215,0.35074626865671643,0.41409691629955947,134.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 25,0.4153846153846154,0.3375,0.3724137931034483,240.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 26,0.6530612244897959,0.43243243243243246,0.5203252032520326,74.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 27,0.37572254335260113,0.30660377358490565,0.33766233766233766,212.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 28,0.4576271186440678,0.4,0.4268774703557312,135.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 29,0.7211055276381909,0.7694369973190348,0.7444876783398184,373.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 30,0.6301369863013698,0.36507936507936506,0.4623115577889447,126.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 31,0.2702702702702703,0.29850746268656714,0.28368794326241137,67.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 32,0.6146788990825688,0.7468152866242038,0.6743350107836089,628.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 33,0.4342105263157895,0.39759036144578314,0.41509433962264153,83.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 34,0.35845896147403683,0.3548922056384743,0.3566666666666667,603.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 35,0.5918367346938775,0.2871287128712871,0.38666666666666666,101.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 36,0.4794520547945205,0.47297297297297297,0.47619047619047616,74.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
Class 37,0.2222222222222222,0.2,0.21052631578947367,50.0,Logistic Regression,30,30,16,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,1715,735
